leaid,name,name_public,charter,city,county,zip,state,state_abbr,enroll,frl,minority,national_math,national_reading
3008880,DESMET ELEMENTARY,Desmet,0,MISSOULA,MISSOULA,59808,Montana,MT,125,0.75,0.18,0.34,0.45
408080,ST JOHNS UNIFIED DISTRICT,St Johns Unified,0,SAINT JOHNS,APACHE,85936,Arizona,AZ,944,0.52,0.29,0.34,0.4
1301050,CHATTAHOOCHEE COUNTY,Chattahoochee,0,CUSSETA,CHATTAHOOCHEE,31805,Georgia,GA,919,0.63,0.48,0.34,0.37
1738550,TAMAROA SCHOOL DISTRICT 5,Tamaroa,0,TAMAROA,PERRY,62888,Illinois,IL,139,0.71,,0.34,0.51
4015210,HUGO,Hugo,0,HUGO,CHOCTAW,74743,Oklahoma,OK,1277,0.76,0.55,0.34,0.34
3414550,SALEM CITY,Salem,0,SALEM,SALEM,8079,New Jersey,NJ,1358,0.72,0.78,0.34,0.31
4033602,FORT COBB-BROXTON,Fort Cobb Broxton,0,FORT COBB,CADDO,73038,Oklahoma,OK,324,0.68,0.4,0.34,0.42
3805340,DRAYTON 19,Drayton,0,DRAYTON,PEMBINA,58225,North Dakota,ND,129,0.43,0.11,0.34,0.64
3028800,WYOLA ELEMENTARY,Wyola,0,WYOLA,BIG HORN,59089,Montana,MT,74,0.81,0.93,0.34,0.24
609480,COLUMBIA UNION,Columbia Union,0,COLUMBIA,TUOLUMNE,95310,California,CA,617,0.54,0.2,0.34,0.49
614070,FORT BRAGG UNIFIED,Fort Bragg Unified,0,FORT BRAGG,MENDOCINO,95437,California,CA,1896,0.59,0.46,0.34,0.41
102730,PICKENS COUNTY,Pickens County,0,CARROLLTON,PICKENS,35447,Alabama,AL,3032,0.7,0.63,0.34,0.38
2201890,WEBSTER PARISH,Webster Parish,0,MINDEN,WEBSTER,71058,Louisiana,LA,7227,0.62,0.45,0.34,0.33
3412540,PASSAIC CITY,Passaic,0,PASSAIC,PASSAIC,7055,New Jersey,NJ,12020,0.89,0.99,0.34,0.33
