district,state_abbr,state_name,district_number,state_total,state_x,state_y,offset_x,offset_y,col,row,rlean
CA-47,CA,California,47,53,0.07,0.455,0,0,1,1,-23.27
CA-48,CA,California,48,53,0.07,0.455,0,0,1,1,8.16
CA-49,CA,California,49,53,0.07,0.455,0,0,1,1,2.57
CA-5,CA,California,5,53,0.07,0.455,0,0,1,1,-38.88
CA-50,CA,California,50,53,0.07,0.455,0,0,1,1,22.92
CA-51,CA,California,51,53,0.07,0.455,0,0,1,1,-41.08
CA-52,CA,California,52,53,0.07,0.455,0,0,1,1,-11.76
CA-53,CA,California,53,53,0.07,0.455,0,0,1,1,-26.33
CA-6,CA,California,6,53,0.07,0.455,0,0,1,1,-38.34
CA-7,CA,California,7,53,0.07,0.455,0,0,1,1,-3.53
CA-8,CA,California,8,53,0.07,0.455,0,0,1,1,20.04
CA-9,CA,California,9,53,0.07,0.455,0,0,1,1,-12.93
CO-1,CO,Colorado,1,7,0.33,0.455,0,0,1,1,-39
CO-2,CO,Colorado,2,7,0.33,0.455,0,0,1,1,-15.13
CO-3,CO,Colorado,3,7,0.33,0.455,0,0,1,1,15.22
CO-4,CO,Colorado,4,7,0.33,0.455,0,0,1,1,26.96
CO-5,CO,Colorado,5,7,0.33,0.455,0,0,1,1,28.04
CO-6,CO,Colorado,6,7,0.33,0.455,0,0,1,1,-2.38
CO-7,CO,Colorado,7,7,0.33,0.455,0,0,1,1,-7.69
CT-1,CT,Connecticut,1,5,0.895,0.3,0,0,1,1,-19.61
CT-2,CT,Connecticut,2,5,0.895,0.3,0,0,1,1,-1.31
CT-3,CT,Connecticut,3,5,0.895,0.3,0,0,1,1,-14.06
CT-4,CT,Connecticut,4,5,0.895,0.3,0,0,1,1,-13.99
CT-5,CT,Connecticut,5,5,0.895,0.3,0,0,1,1,-0.41
DE-1,DE,Delaware,1,1,0.863,0.407,0,0,1,1,-12.13
FL-1,FL,Florida,1,27,0.785,0.83,0,0,1,1,44.25
FL-10,FL,Florida,10,27,0.785,0.83,0,0,1,1,-20.09
FL-11,FL,Florida,11,27,0.785,0.83,0,0,1,1,33.27
FL-12,FL,Florida,12,27,0.785,0.83,0,0,1,1,20.18
FL-13,FL,Florida,13,27,0.785,0.83,0,0,1,1,-0.42
FL-14,FL,Florida,14,27,0.785,0.83,0,0,1,1,-12.32
FL-15,FL,Florida,15,27,0.785,0.83,0,0,1,1,13.81
FL-16,FL,Florida,16,27,0.785,0.83,0,0,1,1,15.28
FL-17,FL,Florida,17,27,0.785,0.83,0,0,1,1,28.84
FL-18,FL,Florida,18,27,0.785,0.83,0,0,1,1,12.65
FL-19,FL,Florida,19,27,0.785,0.83,0,0,1,1,27.27
FL-2,FL,Florida,2,27,0.785,0.83,0,0,1,1,39.19
FL-20,FL,Florida,20,27,0.785,0.83,0,0,1,1,-57.97
FL-21,FL,Florida,21,27,0.785,0.83,0,0,1,1,-14.89
FL-22,FL,Florida,22,27,0.785,0.83,0,0,1,1,-9.69
FL-23,FL,Florida,23,27,0.785,0.83,0,0,1,1,-19.92
FL-24,FL,Florida,24,27,0.785,0.83,0,0,1,1,-63.71
FL-25,FL,Florida,25,27,0.785,0.83,0,0,1,1,9.68
FL-26,FL,Florida,26,27,0.785,0.83,0,0,1,1,-9.42
FL-27,FL,Florida,27,27,0.785,0.83,0,0,1,1,-10.02
FL-3,FL,Florida,3,27,0.785,0.83,0,0,1,1,20.84
FL-4,FL,Florida,4,27,0.785,0.83,0,0,1,1,35.03
FL-5,FL,Florida,5,27,0.785,0.83,0,0,1,1,-21.06
FL-6,FL,Florida,6,27,0.785,0.83,0,0,1,1,18.48
FL-7,FL,Florida,7,27,0.785,0.83,0,0,1,1,0.41
FL-8,FL,Florida,8,27,0.785,0.83,0,0,1,1,23.91
FL-9,FL,Florida,9,27,0.785,0.83,0,0,1,1,-7.39
GA-1,GA,Georgia,1,14,0.75,0.68,0,0,1,1,21.32
GA-10,GA,Georgia,10,14,0.75,0.68,0,0,1,1,32.35
GA-11,GA,Georgia,11,14,0.75,0.68,0,0,1,1,35.07
GA-12,GA,Georgia,12,14,0.75,0.68,0,0,1,1,21.42
GA-13,GA,Georgia,13,14,0.75,0.68,0,0,1,1,-36.09
GA-14,GA,Georgia,14,14,0.75,0.68,0,0,1,1,57.57
GA-2,GA,Georgia,2,14,0.75,0.68,0,0,1,1,-7
