district,state_abbr,state_name,district_number,state_total,state_x,state_y,offset_x,offset_y,col,row,rlean
TX-19,TX,Texas,19,36,0.44,0.74,0,0,1,1,54.31
TX-2,TX,Texas,2,36,0.44,0.74,0,0,1,1,21
TX-20,TX,Texas,20,36,0.44,0.74,0,0,1,1,-18.5
TX-21,TX,Texas,21,36,0.44,0.74,0,0,1,1,19.67
TX-22,TX,Texas,22,36,0.44,0.74,0,0,1,1,19.44
TX-23,TX,Texas,23,36,0.44,0.74,0,0,1,1,4.34
TX-24,TX,Texas,24,36,0.44,0.74,0,0,1,1,17.31
TX-25,TX,Texas,25,36,0.44,0.74,0,0,1,1,22.99
TX-26,TX,Texas,26,36,0.44,0.74,0,0,1,1,35.58
TX-27,TX,Texas,27,36,0.44,0.74,0,0,1,1,28.83
TX-28,TX,Texas,28,36,0.44,0.74,0,0,1,1,-14.69
TX-29,TX,Texas,29,36,0.44,0.74,0,0,1,1,-35.83
TX-3,TX,Texas,3,36,0.44,0.74,0,0,1,1,25.18
TX-30,TX,Texas,30,36,0.44,0.74,0,0,1,1,-55.11
TX-31,TX,Texas,31,36,0.44,0.74,0,0,1,1,21.26
TX-32,TX,Texas,32,36,0.44,0.74,0,0,1,1,9.63
TX-33,TX,Texas,33,36,0.44,0.74,0,0,1,1,-42.21
TX-34,TX,Texas,34,36,0.44,0.74,0,0,1,1,-16.12
TX-35,TX,Texas,35,36,0.44,0.74,0,0,1,1,-26.2
TX-36,TX,Texas,36,36,0.44,0.74,0,0,1,1,52.5
TX-4,TX,Texas,4,36,0.44,0.74,0,0,1,1,57.54
TX-5,TX,Texas,5,36,0.44,0.74,0,0,1,1,34.59
TX-6,TX,Texas,6,36,0.44,0.74,0,0,1,1,19.6
TX-7,TX,Texas,7,36,0.44,0.74,0,0,1,1,11.89
TX-8,TX,Texas,8,36,0.44,0.74,0,0,1,1,56.39
TX-9,TX,Texas,9,36,0.44,0.74,0,0,1,1,-54.4
UT-1,UT,Utah,1,4,0.23,0.42,0,0,1,1,39.4
UT-2,UT,Utah,2,4,0.23,0.42,0,0,1,1,24.44
UT-3,UT,Utah,3,4,0.23,0.42,0,0,1,1,37.73
UT-4,UT,Utah,4,4,0.23,0.42,0,0,1,1,18.96
VA-1,VA,Virginia,1,11,0.81,0.47,0,0,1,1,9.91
VA-10,VA,Virginia,10,11,0.81,0.47,0,0,1,1,-8.67
VA-11,VA,Virginia,11,11,0.81,0.47,0,0,1,1,-36.89
VA-2,VA,Virginia,2,11,0.81,0.47,0,0,1,1,0.65
VA-3,VA,Virginia,3,11,0.81,0.47,0,0,1,1,-35.18
VA-4,VA,Virginia,4,11,0.81,0.47,0,0,1,1,-23.87
VA-5,VA,Virginia,5,11,0.81,0.47,0,0,1,1,7.25
VA-6,VA,Virginia,6,11,0.81,0.47,0,0,1,1,20.8
VA-7,VA,Virginia,7,11,0.81,0.47,0,0,1,1,5.47
VA-8,VA,Virginia,8,11,0.81,0.47,0,0,1,1,-48.81
VA-9,VA,Virginia,9,11,0.81,0.47,0,0,1,1,35.26
VT-1,VT,Vermont,1,1,0.88,0.2,0,0,1,1,-23.93
WA-1,WA,Washington,1,10,0.12,0.08,0,0,1,1,-14.44
WA-10,WA,Washington,10,10,0.12,0.08,0,0,1,1,-12.65
WA-2,WA,Washington,2,10,0.12,0.08,0,0,1,1,-21.71
WA-3,WA,Washington,3,10,0.12,0.08,0,0,1,1,5.5
WA-4,WA,Washington,4,10,0.12,0.08,0,0,1,1,22.61
WA-5,WA,Washington,5,10,0.12,0.08,0,0,1,1,12.04
WA-6,WA,Washington,6,10,0.12,0.08,0,0,1,1,-13.15
WA-7,WA,Washington,7,10,0.12,0.08,0,0,1,1,-65.78
WA-8,WA,Washington,8,10,0.12,0.08,0,0,1,1,-2.55
WA-9,WA,Washington,9,10,0.12,0.08,0,0,1,1,-43.88
WI-1,WI,Wisconsin,1,8,0.6,0.25,0,0,1,1,12.84
WI-2,WI,Wisconsin,2,8,0.6,0.25,0,0,1,1,-32.59
WI-3,WI,Wisconsin,3,8,0.6,0.25,0,0,1,1,3.91
WI-4,WI,Wisconsin,4,8,0.6,0.25,0,0,1,1,-47.46
WI-5,WI,Wisconsin,5,8,0.6,0.25,0,0,1,1,25.82
WI-6,WI,Wisconsin,6,8,0.6,0.25,0,0,1,1,18.27
WI-7,WI,Wisconsin,7,8,0.6,0.25,0,0,1,1,19.2
WI-8,WI,Wisconsin,8,8,0.6,0.25,0,0,1,1,17.54
WV-1,WV,West Virginia,1,3,0.77,0.45,0,0,1,1,33.3
WV-2,WV,West Virginia,2,3,0.77,0.45,0,0,1,1,28.32
WV-3,WV,West Virginia,3,3,0.77,0.45,0,0,1,1,40.11
WY-1,WY,Wyoming,1,1,0.31,0.3,0,0,1,1,44.56
